Customer,date,Consumption Category,Time,value
11,1-Jul-10,GC,0:30,0.118
11,1-Jul-10,GG,0:30,0.0
11,2-Jul-10,GC,0:30,0.217
11,2-Jul-10,GG,0:30,0.0
11,3-Jul-10,GC,0:30,0.162
11,3-Jul-10,GG,0:30,0.0
11,4-Jul-10,GC,0:30,0.096
11,4-Jul-10,GG,0:30,0.0
11,5-Jul-10,GC,0:30,0.14
11,5-Jul-10,GG,0:30,0.0
11,6-Jul-10,GC,0:30,0.096
11,6-Jul-10,GG,0:30,0.0
11,7-Jul-10,GC,0:30,0.095
11,7-Jul-10,GG,0:30,0.0
11,8-Jul-10,GC,0:30,0.17
11,8-Jul-10,GG,0:30,0.0
11,9-Jul-10,GC,0:30,0.176
11,9-Jul-10,GG,0:30,0.0
11,10-Jul-10,GC,0:30,0.127
11,10-Jul-10,GG,0:30,0.0
11,11-Jul-10,GC,0:30,0.2
11,11-Jul-10,GG,0:30,0.0
11,12-Jul-10,GC,0:30,0.145
11,12-Jul-10,GG,0:30,0.0
11,13-Jul-10,GC,0:30,0.111
11,13-Jul-10,GG,0:30,0.0
11,14-Jul-10,GC,0:30,0.093
11,14-Jul-10,GG,0:30,0.0
11,15-Jul-10,GC,0:30,0.328
11,15-Jul-10,GG,0:30,0.0
11,16-Jul-10,GC,0:30,0.117
11,16-Jul-10,GG,0:30,0.0
11,17-Jul-10,GC,0:30,0.353
11,17-Jul-10,GG,0:30,0.0
11,18-Jul-10,GC,0:30,0.35
11,18-Jul-10,GG,0:30,0.0
11,19-Jul-10,GC,0:30,0.209
11,19-Jul-10,GG,0:30,0.0
11,20-Jul-10,GC,0:30,0.107
11,20-Jul-10,GG,0:30,0.0
11,21-Jul-10,GC,0:30,0.324
11,21-Jul-10,GG,0:30,0.0
11,22-Jul-10,GC,0:30,0.622
11,22-Jul-10,GG,0:30,0.0
11,23-Jul-10,GC,0:30,0.311
11,23-Jul-10,GG,0:30,0.0
11,24-Jul-10,GC,0:30,0.281
11,24-Jul-10,GG,0:30,0.0
11,25-Jul-10,GC,0:30,0.117
